Brucellaceae	/panfs/biopan04/scratch-earlm/orthophylo/Brucellaceae.1.26.23	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Brucella
Paeniglutamicibacter	/panfs/biopan04/scratch-earlm/orthophylo/Paeniglutamicibacter	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Paeniglutamicibacter
plasmodium	/panfs/biopan04/scratch-earlm/orthophylo/plasmodium	d__Eukaryota;c2__Sar;c2__Alveolata;p__Apicomplexa;c__Aconoidasida;o__Haemospororida;f__Plasmodiidae;g__Plasmodium
Volvox	/panfs/biopan04/scratch-earlm/orthophylo/Volvocene/volvo_OP.test	k__Plantae;c2__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Volvocaceae;g__Volvox
Rickettsiales_releaf_compatable	/panfs/biopan04/scratch-earlm/orthophylo/test_ReLeaf.Rickettsiales/OP.10.09.25.mafft.fast.prot.mash.onego	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales
Orchid_chloroplast	~/gits/OrthoPhyl/TESTER/FULLTEST_OUT.11-12-2025/	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae; 
